cond((Int)),disp((Int)),cond(guild),cond(Hab),cond(Spec),cond(Treatment),cond(guild:Hab),cond(guild:Spec),cond(guild:Treatment),cond(Hab:Spec),cond(Hab:Treatment),cond(Spec:Treatment),cond(guild:Hab:Spec),cond(guild:Hab:Treatment),cond(guild:Spec:Treatment),cond(Hab:Spec:Treatment),cond(guild:Hab:Spec:Treatment),df,logLik,AICc,delta,weight
1.908102538942167,+,+,+,+,+,+,+,+,+,+,NA,NA,+,NA,NA,NA,56,-687.8846103611003,1512.0429849807556,73.36549706545247,5.86378111228324e-17
1.7387279775373536,+,+,+,+,+,+,+,+,+,+,+,NA,NA,+,+,NA,68,-669.3454119611914,1512.0772781056498,73.39979019034672,5.76409450691536e-17
1.8151892166235863,+,+,+,+,+,+,+,+,+,+,+,NA,NA,+,NA,NA,59,-684.2961607726364,1513.8230907760421,75.14560286073902,2.40786807272444e-17
1.7714308670851153,+,+,+,+,+,+,+,+,NA,+,+,NA,+,+,NA,NA,59,-684.7598878631275,1514.7505449570242,76.07305704172109,1.51439292393275e-17
1.648686996318993,+,+,+,+,+,+,+,+,+,+,+,NA,+,+,+,NA,77,-662.5678408773557,1528.7720453910752,90.09455747577204,1.36618162066393e-20
1.7543469587169302,+,+,+,+,+,+,+,+,+,+,+,NA,+,+,NA,NA,68,-678.9294902952134,1531.245434773694,92.56794685839077,3.96660320277692e-21
2.2700247270058282,+,+,+,+,+,+,+,NA,+,NA,+,+,NA,NA,NA,NA,71,-682.4921706033097,1548.2101476582322,109.53265974292913,8.21444378314606e-25
2.3546759447165435,+,+,+,+,+,+,+,NA,+,NA,NA,+,NA,NA,NA,NA,68,-687.826760399575,1549.039974982417,110.36248706711399,5.42479645895495e-25
1.9939214626862674,+,+,+,+,+,+,+,NA,+,+,+,+,NA,NA,NA,NA,74,-679.9833944174853,1553.2729112839502,114.59542336864706,6.53450972862688e-26
2.0864621138017276,+,+,+,+,+,+,+,NA,+,+,NA,+,NA,NA,NA,NA,71,-685.6667360660778,1554.5592785837684,115.88179066846533,3.43464534178229e-26
2.312782248668708,+,+,+,+,+,+,+,+,+,NA,+,+,NA,NA,NA,NA,74,-680.6452460177868,1554.5966144845531,115.91912656925001,3.37112231999965e-26
2.3998204294761085,+,+,+,+,+,+,+,+,+,NA,NA,+,NA,NA,NA,NA,71,-686.0656673373594,1555.3571411263317,116.67965321102861,2.30477348546728e-26
2.028774420573205,+,+,+,+,+,+,+,+,+,+,+,+,NA,NA,NA,NA,77,-678.0480906951061,1559.732545026576,121.05505711127284,2.58536201733246e-27
1.8922425885041914,+,+,+,+,+,+,+,NA,+,+,+,+,NA,NA,+,NA,83,-667.4366296484495,1559.958005059611,121.28051714430785,2.30974130024707e-27
2.1257689235374038,+,+,+,+,+,+,+,+,+,+,NA,+,NA,NA,NA,NA,74,-683.8502240443105,1561.0065705376005,122.32908262229739,1.3673202303096e-27
